Player,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
"Ajinca, Alexis",39,,2017-01-09,28-248,NOP,@,NYK,W (+14),Did Not Play
"Ajinca, Alexis",40,21,2017-01-12,28-251,NOP,@,BRK,W (+9),0,3:10,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-0.1,+2
"Ajinca, Alexis",41,,2017-01-14,28-253,NOP,@,CHI,L (-8),Inactive
"Ajinca, Alexis",42,,2017-01-16,28-255,NOP,@,IND,L (-3),Did Not Play
"Ajinca, Alexis",43,,2017-01-18,28-257,NOP,,ORL,W (+20),Did Not Play
"Ajinca, Alexis",44,,2017-01-20,28-259,NOP,,BRK,L (-29),Inactive
"Ajinca, Alexis",45,,2017-01-23,28-262,NOP,,CLE,W (+2),Did Not Play
"Ajinca, Alexis",46,,2017-01-25,28-264,NOP,,OKC,L (-9),Did Not Play
"Ajinca, Alexis",47,,2017-01-27,28-266,NOP,,SAS,W (+16),Did Not Play
"Ajinca, Alexis",48,,2017-01-29,28-268,NOP,,WAS,L (-13),Did Not Play
"Ajinca, Alexis",49,,2017-01-31,28-270,NOP,@,TOR,L (-2),Did Not Play
"Ajinca, Alexis",50,,2017-02-01,28-271,NOP,@,DET,L (-20),Did Not Play
"Ajinca, Alexis",51,,2017-02-04,28-274,NOP,@,WAS,L (-14),Did Not Play
"Ajinca, Alexis",52,,2017-02-06,28-276,NOP,,PHO,W (+5),Did Not Play
"Ajinca, Alexis",53,,2017-02-08,28-278,NOP,,UTA,L (-33),Did Not Play
"Ajinca, Alexis",54,,2017-02-10,28-280,NOP,@,MIN,W (+16),Not With Team
"Ajinca, Alexis",55,,2017-02-12,28-282,NOP,@,SAC,L (-6),Did Not Play
"Ajinca, Alexis",56,22,2017-02-13,28-283,NOP,@,PHO,W (+2),1,18:42,2,5,.400,0,0,,1,2,.500,2,1,3,0,1,0,1,4,5,2.0,+5
"Ajinca, Alexis",57,23,2017-02-15,28-285,NOP,@,MEM,W (+4),1,34:32,3,6,.500,0,0,,6,8,.750,2,8,10,0,3,2,3,4,12,11.8,+2
