Player,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
"Afflalo, Arron",38,31,2017-01-10,31-087,SAC,,DET,W (+6),0,11:25,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,4,4.7,-6
"Afflalo, Arron",39,32,2017-01-13,31-090,SAC,,CLE,L (-12),0,16:48,2,3,.667,1,1,1.000,0,0,,0,0,0,0,1,0,2,2,5,1.9,-2
"Afflalo, Arron",40,33,2017-01-15,31-092,SAC,,OKC,L (-4),0,17:55,2,5,.400,1,1,1.000,2,2,1.000,0,3,3,0,0,1,4,1,7,1.5,-17
"Afflalo, Arron",41,34,2017-01-18,31-095,SAC,,IND,L (-6),1,31:02,3,6,.500,2,4,.500,3,3,1.000,0,1,1,1,0,1,1,3,11,7.5,-4
"Afflalo, Arron",42,35,2017-01-20,31-097,SAC,@,MEM,L (-16),1,25:21,2,5,.400,0,3,.000,1,1,1.000,0,2,2,0,2,0,1,0,5,3.9,0
"Afflalo, Arron",43,36,2017-01-21,31-098,SAC,@,CHI,L (-3),1,34:57,3,9,.333,3,4,.750,0,0,,1,0,1,4,1,1,0,4,9,7.5,-5
"Afflalo, Arron",44,37,2017-01-23,31-100,SAC,@,DET,W (+5),1,28:39,2,9,.222,2,7,.286,0,0,,0,2,2,2,0,0,0,0,6,2.5,+11
"Afflalo, Arron",45,38,2017-01-25,31-102,SAC,@,CLE,W (+4),1,40:16,5,8,.625,4,6,.667,0,0,,0,2,2,3,0,0,2,4,14,9.5,+4
"Afflalo, Arron",46,39,2017-01-27,31-104,SAC,@,IND,L (-4),1,34:22,6,9,.667,3,5,.600,0,0,,0,1,1,0,0,0,1,5,15,8.4,-12
"Afflalo, Arron",47,40,2017-01-28,31-105,SAC,@,CHO,W (+3),1,30:38,4,8,.500,2,4,.500,3,4,.750,0,2,2,4,1,0,0,1,13,12.6,+9
"Afflalo, Arron",48,41,2017-01-30,31-107,SAC,@,PHI,L (-3),1,35:56,3,9,.333,2,7,.286,0,0,,0,4,4,3,0,0,2,3,8,3.0,+4
"Afflalo, Arron",49,42,2017-01-31,31-108,SAC,@,HOU,L (-22),1,26:52,3,9,.333,1,4,.250,2,3,.667,0,1,1,1,0,1,1,1,9,3.8,-16
"Afflalo, Arron",50,,2017-02-03,31-111,SAC,,PHO,L (-2),Inactive
"Afflalo, Arron",51,43,2017-02-04,31-112,SAC,,GSW,W (+3),1,36:01,0,3,.000,0,1,.000,2,3,.667,0,2,2,1,1,0,0,1,2,1.4,-4
"Afflalo, Arron",52,44,2017-02-06,31-114,SAC,,CHI,L (-5),1,17:02,2,5,.400,1,3,.333,0,0,,0,1,1,0,0,0,0,4,5,1.0,-20
"Afflalo, Arron",53,45,2017-02-08,31-116,SAC,,BOS,W (+16),1,33:48,3,9,.333,0,2,.000,3,4,.750,0,3,3,3,1,0,3,2,9,3.7,+1
"Afflalo, Arron",54,46,2017-02-10,31-118,SAC,,ATL,W (+1),1,29:23,3,7,.429,1,2,.500,1,1,1.000,0,1,1,2,0,0,1,2,8,4.2,-10
"Afflalo, Arron",55,47,2017-02-12,31-120,SAC,,NOP,W (+6),1,32:13,3,7,.429,1,3,.333,3,3,1.000,0,1,1,2,1,1,0,1,10,9.3,+1
"Afflalo, Arron",56,48,2017-02-14,31-122,SAC,@,LAL,W (+1),1,37:19,5,7,.714,0,0,,0,0,,1,2,3,1,1,0,0,3,10,8.9,-1
"Afflalo, Arron",57,49,2017-02-15,31-123,SAC,@,GSW,L (-23),1,15:40,1,4,.250,1,2,.500,1,1,1.000,0,0,0,2,0,0,1,0,4,2.0,-10
