subj_idx,stim,rt,response,rulert
1, YFEP,0.58484,1,0.81846
1, XFNP,0.50128,1,0.66837
1, YFLP,0.55153,1,0.51822
1, YFEP,0.6014,1,0.51811
1, YSNP,0.90178,1,0.8019
1, XSLP,0.73505,1,0.51813
1, YSEP,0.68501,1,0.51808
1, YFNP,0.91862,1,0.53489
1, XFLP,0.60158,1,0.51827
1, XSEP,0.66838,1,0.5849
1, YSNP,1.6029,0,0.51823
1, XFLP,1.0354,1,0.58495
1, XSEP,1.5863,1,0.51822
1, XSLV,0.85172,1,0.93566
1, XFEV,0.5014,1,0.9858
1, YSNV,1.1188,1,0.55149
1, XSLV,1.1189,1,0.51809
1, YFNV,1.5361,1,0.63499
1, YFEV,0.56802,1,0.53485
1, XSEV,0.73513,1,0.51819
1, YFLV,1.002,1,0.51817
1, XFNV,0.5181,1,0.5682
1, YSEV,1.0688,1,0.58485
1, XFNV,1.5527,1,0.51813
1, XFLV,0.83522,1,0.66834
1, YFEV,0.98529,1,0.51822
1, XFNV,0.60141,1,0.51816
1, YSLV,0.785,1,0.51837
1, YSEV,0.7517,1,0.51816
1, XFNV,0.60155,1,0.51822
1, XSLV,0.98535,1,0.5181
1, XFNV,0.58478,1,0.51832
1, XSEV,1.4026,1,0.5182
1, XSLV,1.0855,1,0.61829
1, XFEV,0.96867,1,0.51822
1, YSNV,0.71831,1,0.51812
1, YSLV,1.0855,1,0.58494
1, XFEV,0.71849,1,0.60158
1, YSLV,0.61829,1,0.6017
1, XFNV,0.55136,1,0.6016
1, XSLV,0.66822,1,0.53485
1, YFEV,0.50144,1,0.53495
1, XSNV,0.70165,1,0.51805
1, XFLV,0.53488,1,0.51809
1, XSEV,0.88533,1,0.70171
1, XSNV,0.86854,1,0.51822
1, YSLV,0.73505,1,0.5182
1, XFEV,0.78514,1,0.51801
1, YFNV,0.50124,1,0.60147
1, YSNV,1.0855,1,0.66833
1, YFEV,0.83529,1,0.51809
1, YFLV,1.1021,1,0.56819
1, YFLV,1.2692,1,0.56823
