subj_idx,stim,rt,response
1, XFLV,0.50149,1
1, XSNV,0.88533,1
1, YSEV,0.70164,1
1, XFLV,0.68503,0
1, YSNV,0.66825,1
1, YSEV,0.58484,1
1, XFEV,0.56824,1
1, YFNV,0.53477,1
1, YSLV,0.76836,1
1, YFEV,0.71843,1
1, YFLV,1.169,1
1, YSNV,1.319,1
2, YSEV,0.71839,1
2, XSLV,0.71846,1
2, YFNV,0.75171,1
2, XSLV,0.91858,1
2, YFEV,0.81854,1
2, YFNV,0.5013,1
2, YFNV,0.50136,1
2, YFEV,0.55149,1
2, XSLV,0.71833,1
2, XFLV,1.2023,1
2, YSNV,0.70163,1
2, XFEV,0.66825,1
2, XSEV,0.90196,1
2, YSLV,0.63491,1
2, XSNV,1.0688,1
2, XFEV,0.50144,1
2, YFNV,0.50142,1
2, XSLV,0.98532,1
2, YSNV,0.65151,1
2, YSEV,0.61825,1
2, YSLV,0.78513,1
2, XFLV,0.53477,1
2, YSEV,1.0021,1
2, XFNV,0.71839,1
2, YFLV,0.68501,1
2, XSNV,0.76839,1
2, YFEV,1.4026,0
2, XFEV,0.73497,1
2, YSLV,0.86857,1
2, XFNV,0.56809,1
2, YSEV,0.70165,1
2, YSNV,0.56811,1
2, XSLV,1.4694,1
2, XSNV,0.75174,1
2, XFLV,0.51807,1
2, YFEV,0.56812,1
2, YSEV,0.73507,1
2, XFLV,0.85193,1
2, YFNV,0.50137,1
2, XSLV,0.80167,1
2, XSNV,3.5722,0
2, XSEV,0.91858,1
2, XFEV,1.9701,1
2, XFLV,0.66828,1
2, XFNV,0.61823,1
2, YSLV,1.4527,1
2, XSEV,1.0855,1
2, YSNV,0.7685,1
2, XFLV,0.9854,1
2, YSEV,0.86848,1
2, XFNV,0.71833,1
2, XFEV,0.76847,1
2, YFLV,0.78524,1
2, XSNV,0.83524,1
2, YFNV,0.50138,1
2, YFLV,0.58485,1
2, YSEV,1.0521,1
2, XFEV,0.85185,1
2, YSLV,0.71826,1
2, YFNV,0.50137,1
2, XSEP,0.81835,1
2, XFNP,1.1522,1
2, XSLP,2.1201,1
2, XSEP,1.0688,1
2, XFNP,0.53478,1
2, XFLP,1.2024,1
2, YSLP,1.7363,0
2, XSNP,0.96866,1
2, XSEP,0.80178,1
2, XSLP,1.5362,1
2, YSNP,0.80171,1
2, YFEP,0.51806,1
2, XFNP,1.753,0
2, YSLP,2.187,0
2, YFEP,0.71837,0
2, YFLP,0.50136,1
2, XSNP,0.95193,1
2, YSEP,0.53481,1
2, YSLP,1.2691,1
2, XSEP,0.50129,0
2, YFNP,0.5014,1
2, XFEP,0.50128,1
2, YFLP,0.61813,1
2, XSNP,1.4693,1
2, XSLP,1.5695,1
2, YFNP,0.50134,1
2, XSEP,1.3858,1
2, YFLP,0.76835,1
2, YSNP,1.1522,0
2, XFEP,0.51796,1
2, XFNP,0.5013,1
2, XFLP,1.4526,1
2, XFEP,0.61808,1
2, YFLP,0.71842,1
2, XFNP,0.50141,1
2, XSEP,0.90193,1
2, XSLP,0.93541,1
2, YSNP,1.5861,1
2, XFEP,0.55147,1
2, XFEP,0.55144,1
2, YFNP,0.53474,1
2, XSLP,2.454,1
2, XSLP,1.3692,1
2, YSEP,0.90187,1
2, XSNP,0.71829,0
2, YFEP,0.51802,1
2, YSNP,0.56811,1
2, XFLP,1.2525,1
2, YFNP,1.6363,0
2, XFEP,0.78514,1
2, XSLP,0.9687,1
2, YSEP,1.4693,1
2, YSLP,1.3025,1
2, YSNP,0.53476,1
2, XSNP,0.88518,1
2, YFLP,2.1702,1
2, XFEP,0.63482,1
2, XFNP,1.436,1
2, XFEP,0.56822,1
2, XFLP,1.7197,1
2, XSNV,0.88522,1
2, XSLV,1.2024,1
2, YFEV,0.83524,1
2, YFEV,0.60151,1
2, YFLV,0.53473,1
2, XSNV,1.5862,1
2, YSLV,1.2024,0
2, YSNV,0.53478,1
2, XFEV,0.55142,1
2, XFNV,0.80178,1
2, XFEV,0.65166,1
2, YSLV,1.002,0
2, XFLV,0.50147,1
2, YFEV,0.50153,1
2, XSNV,0.76842,1
2, XFLV,0.51809,1
2, YSEV,0.85188,1
2, XFNV,0.50138,1
2, YSEV,0.76854,1
2, YFLV,0.56813,1
2, XFNV,0.50134,1
2, XSNV,0.63489,0
2, YSLV,1.92,1
2, YFEV,0.50137,1
2, XFLV,0.50137,1
2, YSEV,0.56816,1
2, YSNV,0.66836,1
2, XSNV,0.85181,1
2, YFLV,0.61822,1
2, YSEV,0.81848,1
2, YSNV,0.58483,1
2, XSLV,1.2691,1
2, YSEV,1.1354,1
2, YFEV,1.1856,1
2, XSLV,1.8032,1
2, XSNV,0.85183,1
2, XSEV,0.8352,1
2, XSNV,0.75176,0
2, XSLV,1.0187,1
2, YFEV,0.50134,1
2, XFNV,0.50138,1
2, YFLV,1.3191,1
